Have_IMDB_data,Have_IMDB_data 2,year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,averageRating,numVotes_Rating,Have_biopic,No_of_biopic_instances,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
Both,Yes,2011,tt1422136,A Lonely Place to Die,ok,ok,PASS,4000000,,442550,2011PASS,4142763,,458345,1,1,6.3,24950,No,,,,,,,,,,,,,,,movie,A Lonely Place to Die,A Lonely Place to Die,0,2011,\N,99,"Adventure,Crime,Thriller"
Both,Yes,2011,tt1701990,Detention,ok,ok,PASS,10000000,,,2011PASS,10356908,,,1,1,5.8,13931,No,,,,,,,,,,,,,,,movie,Detention,Detention,0,2011,\N,93,"Comedy,Horror,Sci-Fi"
Both,Yes,2010,tt1216520,Womb,ok,ok,PASS,13000000,,,2010PASS,13887014,,,1,1,6.4,12073,No,,,,,,,,,,,,,,,movie,Womb,Womb,0,2010,\N,111,"Drama,Romance,Sci-Fi"
Both,Yes,2009,tt1024744,I Come with the Rain,nowomen,nowomen,FAIL,18000000,0,627422,2009FAIL,19543169,,681212,2,2,5.5,2785,No,,,,,,,,,,,,,,,movie,I Come with the Rain,I Come with the Rain,0,2009,\N,114,Thriller
Both,Yes,2009,tt1068678,Veronika Decides to Die,ok,ok,PASS,9000000,,,2009PASS,9771584,,,2,2,6.5,11239,No,,,,,,,,,,,,,,,movie,Veronika Decides to Die,Veronika Decides to Die,0,2009,\N,103,"Drama,Romance"
Both,Yes,2009,tt0448182,Yesterday Was a Lie,ok,ok,PASS,200000,,,2009PASS,217146,,,2,2,5.3,391,No,,,,,,,,,,,,,,,movie,Yesterday Was a Lie,Yesterday Was a Lie,0,2008,\N,89,"Drama,Music,Mystery"
Both,Yes,2008,tt0489018,Day of the Dead,ok,ok,PASS,18000000,,,2008PASS,19480614,,,2,2,4.5,19187,No,,,,,,,,,,,,,,,video,Day of the Dead,Day of the Dead,0,2008,\N,86,"Action,Horror,Thriller"
Both,Yes,2008,tt0942903,Stargate: The Ark of Truth,dubious-disagree,dubious,FAIL,7000000,,,2008FAIL,7575794,,,2,2,7.4,18491,No,,,,,,,,,,,,,,,video,Stargate: The Ark of Truth,Stargate: The Ark of Truth,0,2008,\N,97,"Action,Adventure,Drama"
Both,Yes,2008,tt0882978,Three Kingdoms: Resurrection of the Dragon,notalk,notalk,FAIL,20000000,,22139590,2008FAIL,21645126,,23960711,2,2,6.2,5673,No,,,,,,,,,,,,,,,movie,Three Kingdoms,San guo zhi jian long xie jia,0,2008,\N,102,"Action,Drama,History"
Both,Yes,2007,tt1038988,[Rec],ok,ok,PASS,2100000,,27117954,2007PASS,2359441,,30468201,2,2,7.5,149036,No,,,,,,,,,,,,,,,movie,[Rec],[Rec],0,2007,\N,78,"Horror,Mystery,Thriller"
